Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice
Gender	1760.84316312252	1	12.4503957159824	0.000545724706866853	0.0721969680863338	0.95	0.0143365863196474	0.160016763715657	2015	Right_Hand	faith_pd
Residuals	22628.5904903362	160	NA	NA	NA	NA	NA	NA	2015	Right_Hand	faith_pd
(Intercept)	114959.820226387	1	526.572265086701	2.41000249803141e-44	NA	NA	NA	NA	2016	Right_Hand	faith_pd
Age_num	545.273784873883	1	2.49762092031817	0.116813588656686	0.0216248689835895	0.95	0	0.100217796013038	2016	Right_Hand	faith_pd
Expo	7877.50562548949	1	36.0828328739429	2.35314876040021e-08	0.242032111802254	0.95	0.117832747336544	0.367662068619083	2016	Right_Hand	faith_pd
Gender	809.153725918626	1	3.70632025538361	0.056720297768042	0.0317576652855922	0.95	0	0.118463272939837	2016	Right_Hand	faith_pd
Residuals	24669.8516934666	113	NA	NA	NA	NA	NA	NA	2016	Right_Hand	faith_pd
(Intercept)	43.6280024718098	1	12586.2502701373	5.02242831737203e-154	NA	NA	NA	NA	2015	Right_Hand	pielou_e
Age_num	0.0153985612424051	1	4.44233369891683	0.0366169014126094	0.0270145381605351	0.95	0	0.0941494074993958	2015	Right_Hand	pielou_e
Expo	0.0246432215926509	1	7.10932742400867	0.00845588253143066	0.0425429719190365	0.95	0.0028160430142672	0.118774005429705	2015	Right_Hand	pielou_e
Gender	0.00570421297042145	1	1.64560942450386	0.201412761891787	0.0101803533690931	0.95	0	0.0617757903372701	2015	Right_Hand	pielou_e
Residuals	0.554611599616111	160	NA	NA	NA	NA	NA	NA	2015	Right_Hand	pielou_e
(Intercept)	30.8492014441337	1	3275.31966356924	2.73205838101319e-85	NA	NA	NA	NA	2016	Right_Hand	pielou_e
Age_num	0.0628893257289538	1	6.67708191933839	0.0110407360292745	0.055792486015315	0.95	0.00289821761606778	0.155824013227274	2016	Right_Hand	pielou_e
Expo	0.0170677904246144	1	1.81212047555444	0.180948391737488	0.0157833551723336	0.95	0	0.0884333718855617	2016	Right_Hand	pielou_e
Gender	0.00895963863211691	1	0.951262243964096	0.331481533823474	0.00834797460977212	0.95	0	0.070896806267369	2016	Right_Hand	pielou_e
